# title,"Budgeting Summary (lut=0.500ns/net=0.350ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-1.439","3.300","-0.039","0.035","4.241","1.009","3.232","6","7","6 (*)","6 (*)","-0.657","-0.698","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[23]/R}"
"ap_clk","-1.439","3.300","-0.039","0.035","4.241","1.009","3.232","6","7","6 (*)","6 (*)","-0.657","-0.698","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[29]/R}"
"ap_clk","-1.372","3.300","-0.039","0.035","4.246","1.009","3.237","6","7","6 (*)","6 (*)","-0.585","-0.626","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[2]/R}"
"ap_clk","-1.372","3.300","-0.039","0.035","4.246","1.009","3.237","6","7","6 (*)","6 (*)","-0.585","-0.626","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[4]_replica/R}"
"ap_clk","-1.372","3.300","-0.039","0.035","4.246","1.009","3.237","6","7","6 (*)","6 (*)","-0.585","-0.626","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[8]/R}"
"ap_clk","-1.372","3.300","-0.039","0.035","4.246","1.009","3.237","6","7","6 (*)","6 (*)","-0.585","-0.626","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[9]/R}"
"ap_clk","-1.368","3.300","-0.039","0.035","4.241","1.009","3.232","6","7","6 (*)","6 (*)","-0.586","-0.627","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[22]/R}"
"ap_clk","-1.368","3.300","-0.039","0.035","4.241","1.009","3.232","6","7","6 (*)","6 (*)","-0.586","-0.627","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/R}"
"ap_clk","-1.368","3.300","-0.039","0.035","4.241","1.009","3.232","6","7","6 (*)","6 (*)","-0.586","-0.627","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[28]/R}"
"ap_clk","-1.361","3.300","-0.039","0.035","4.419","1.114","3.305","7","8","6 (*)","6 (*)","-0.856","-0.942","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(4) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[1]/CE}"
"ap_clk","-1.361","3.300","-0.039","0.035","4.419","1.114","3.305","7","8","6 (*)","6 (*)","-0.856","-0.942","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(4) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[3]/CE}"
"ap_clk","-1.361","3.300","-0.039","0.035","4.419","1.114","3.305","7","8","6 (*)","6 (*)","-0.856","-0.942","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(4) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[5]/CE}"
"ap_clk","-1.361","3.300","-0.039","0.035","4.419","1.114","3.305","7","8","6 (*)","6 (*)","-0.856","-0.942","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(4) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[6]/CE}"
"ap_clk","-1.360","3.300","-0.039","0.035","4.233","1.009","3.224","6","7","6 (*)","6 (*)","-0.586","-0.627","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[0]/R}"
"ap_clk","-1.360","3.300","-0.039","0.035","4.233","1.009","3.224","6","7","6 (*)","6 (*)","-0.586","-0.627","FDRE(3) LUT6(1) LUT6(1) LUT6(16) LUT5(2) LUT6(2) LUT6(31) FDRE","{bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[27]/C --> bd_0_i/hls_inst/inst/gmem3_m_axi_U/store_unit/bus_wide_gen.len_cnt_reg[10]/R}"
